tag,category,description
apartments,Accommodation,"A building arranged into individual dwellings, often on separate floors. May also have retail outlets on the ground floor."
barracks,Accommodation,Buildings built to house military personnel or laborers.
bungalow,Accommodation,"A single-storey detached small house, Dacha."
cabin,Accommodation,"A cabin is a small, roughly built house usually with a wood exterior and typically found in rural areas."
detached,Accommodation,"A detached house, a free-standing residential building usually housing a single family."
dormitory,Accommodation,"A shared building intended for college/university students (not a share room for multiple occupants as implied by the term in British English). Alternatively, use building=residential plus residential=university and loose the information that it is for students."
farm,Accommodation,"A residential building on a farm (farmhouse). For other buildings see below building=farm_auxiliary, building=barn, … If in your country farmhouse looks same as general residential house then you can tag as building=house as well. See also landuse=farmyard for the surrounding area"
ger,Accommodation,A permanent or seasonal round yurt or ger.
hotel,Accommodation,A building designed with separate rooms available for overnight accommodation. Normally used in conjunction with tourism=hotel for the hotel grounds including recreation areas and parking.
house,Accommodation,"A dwelling unit inhabited by a single household (a family or small group sharing facilities such as a kitchen). Houses forming half of a semi-detached pair, or one of a row of terraced houses, should share at least two nodes with joined neighbours, thereby defining the party wall between the properties."
houseboat,Accommodation,A boat used primarily as a home
residential,Accommodation,"A general tag for a building used primarily for residential purposes. Where additional detail is available consider using 'apartments', 'terrace', 'house', 'detached' or 'semidetached_house'."
semidetached_house,Accommodation,"A residential house that shares a common wall with another on one side. Typically called a ""duplex"" in American English."
static_caravan,Accommodation,A mobile home (semi)permanently left on a single site
terrace,Accommodation,"A single way used to define the outline of a linear row of residential dwellings, each of which normally has its own entrance, which form a terrace (""row-house"" or ""townhouse"" in North American English). Consider defining each dwelling separately using 'house'."
commercial,Commercial,"A building for non-specific commercial activities, not necessarily an office building. Consider tagging the surrounding area using landuse=commercial if there is such use. Use 'retail' if the building consists primarily of shops."
industrial,Commercial,A building for industrial purposes. Use warehouse if the purpose is known to be primarily for storage/distribution. Consider using landuse=industrial for the surrounding area and appropriate tags like man_made=works to describe the industrial activity.
kiosk,Commercial,A small one-room retail building.
office,Commercial,An office building. Use office=* where applicable for the business(es) that use the building. Consider tagging the surrounding area using landuse=commercial if it applies. Prefer 'retail' if the building consists primarily of shops.
retail,Commercial,"A building primarily used for selling goods that are sold to the public; use shop=* to identify the sort of goods sold or an appropriate amenity=* (pub, cafe, restaurant, etc.). Consider use landuse=retail for the surrounding area."
supermarket,Commercial,A building constructed to house a self-service large-area store.
warehouse,Commercial,A building primarily intended for the storage or goods or as part of a distribution system.
cathedral,Religious,"A building that was built as a cathedral. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the cathedral grounds where it is in current use."
chapel,Religious,"A building that was built as a chapel. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the chapel grounds where it is in current use."
